country,year,female_lfp,fertility,gdppc
Turkey,1990,34.0999984741211,3.076,6485.94104749968
Turkmenistan,1990,46.4000015258789,4.345,3729.51959970391
Uganda,1990,82.4000015258789,7.091,303.073966498762
Ukraine,1990,56.0999984741211,1.844,3965.38272260404
United Arab Emirates,1990,25,4.388,68507.5567162531
United Kingdom,1990,52.5999984741211,1.83,28627.7536612551
United States,1990,56.4000015258789,2.081,36312.4141825874
Uruguay,1990,45,2.52,6877.3258805551
Uzbekistan,1990,46.2000007629395,4.072,997.487614193014
Vanuatu,1990,78.5999984741211,4.927,2564.67147541351
"Venezuela, RB",1990,37.2999992370605,3.448,11849.0084407308
Vietnam,1990,74.1999969482422,3.553,446.227723987527
West Bank and Gaza,1990,10,6.719,NA
"Yemen, Rep.",1990,16.2000007629395,8.607,980.383912431818
Zambia,1990,73.5999984741211,6.502,1030.09912319176
Zimbabwe,1990,67.0999984741211,5.176,1226.2667115564
Afghanistan,1991,15.3000001907349,7.479,NA
Albania,1991,54.2000007629395,2.905,1331.48594244312
Algeria,1991,10.1999998092651,4.479,3423.7014456496
Angola,1991,66.0999984741211,7.187,2757.4774072495
Argentina,1991,40.5,2.954,6616.37944137572
Armenia,1991,59.9000015258789,2.482,1598.5560994168
Australia,1991,52,1.849,35225.0390611261
Austria,1991,43.5,1.51,34604.5206773719
Azerbaijan,1991,54.2999992370605,2.87,3049.01599483444
"Bahamas, The",1991,65.6999969482422,2.631,21868.059483047
Bahrain,1991,29,3.601,19411.6704900027
Bangladesh,1991,61.7999992370605,4.314,404.564036386813
Barbados,1991,60.5999984741211,1.733,13200.5101007011
Belarus,1991,59.4000015258789,1.8,2958.01707378005
Belgium,1991,37.9000015258789,1.66,33647.0072902779
Belize,1991,35.9000015258789,4.436,3089.41928626035
Benin,1991,57.2000007629395,6.677,610.092502792349
Bhutan,1991,48.9000015258789,5.431,789.823350698045
Bolivia,1991,51.2999992370605,4.817,1401.89897753609
Bosnia and Herzegovina,1991,35.7000007629395,1.724,NA
Botswana,1991,67.0999984741211,4.542,4024.69577925069
Brazil,1991,48.7999992370605,2.717,7896.88710347151
Brunei Darussalam,1991,46.5,3.438,37430.8940952276
Bulgaria,1991,54.5,1.66,3849.18655875106
Burkina Faso,1991,76.5999984741211,6.979,362.828324283807
Burundi,1991,90.3000030517578,7.508,324.962056579221
Cabo Verde,1991,42.2999992370605,5.165,934.677134092601
Cambodia,1991,76.8000030517578,5.421,NA
Cameroon,1991,56.2999992370605,6.352,1152.05748648547
Canada,1991,57.9000015258789,1.7,35229.7484487717
Central African Republic,1991,69.5,5.734,455.083700584548
Chad,1991,63.7000007629395,7.346,543.538790623769
Chile,1991,32,2.456,6487.03547279582
China,1991,72.5999984741211,2.276,787.867418069003
Colombia,1991,31.6000003814697,2.927,4336.66218715618
Comoros,1991,27.6000003814697,6.291,793.468477224768
"Congo, Dem. Rep.",1991,68.0999984741211,7.081,583.481667937242
"Congo, Rep.",1991,60.2000007629395,5.286,2767.1274071764
Costa Rica,1991,33.5,3.11,4911.50409731954
Cote d'Ivoire,1991,44,6.536,1410.31957638687
Croatia,1991,46.5999984741211,1.53,NA
Cuba,1991,35.4000015258789,1.714,3744.99355438887
Cyprus,1991,41.9000015258789,2.381,20768.7757121123
Czech Republic,1991,52.2000007629395,1.86,12357.7358750006
Denmark,1991,61.7999992370605,1.68,45049.7401139988
Djibouti,1991,27.7999992370605,6,1444.60171657028
Dominican Republic,1991,44.2000007629395,3.397,2555.00749234571
Ecuador,1991,40.0999984741211,3.679,3790.50953843784
"Egypt, Arab Rep.",1991,21.8999996185303,4.455,1569.58298360309
El Salvador,1991,40.7000007629395,3.827,2205.12781221156
Equatorial Guinea,1991,80.4000015258789,5.901,549.660809738158
Eritrea,1991,75.5999984741211,6.316,NA
Estonia,1991,61.4000015258789,1.8,NA
Ethiopia,1991,72.4000015258789,7.193,185.864561675209
Fiji,1991,30.7000007629395,3.374,2820.85537223936
Finland,1991,57.5,1.79,31362.8215887906
France,1991,46.2000007629395,1.75,32910.5167516832
Gabon,1991,55.9000015258789,5.345,11482.59663806
"Gambia, The",1991,69.5999984741211,6.095,513.396554392331
Georgia,1991,55.9000015258789,2.132,2765.06782736343
Germany,1991,48,1.33,33744.2281970986
Ghana,1991,69.8000030517578,5.505,843.190919031723
Greece,1991,33.9000015258789,1.38,19747.557816963
Guatemala,1991,40.5999984741211,5.244,2196.37879257906
Guinea,1991,64.3000030517578,6.57,401.946103281914
Guinea-Bissau,1991,59.7999992370605,6.582,603.823722537255
Guyana,1991,37,3.535,1615.51863721959
Haiti,1991,56.9000015258789,5.318,NA
Honduras,1991,33.2999992370605,5.048,1555.9657107443
"Hong Kong SAR, China",1991,48.0999984741211,1.281,19132.3753881717
Hungary,1991,46,1.87,8813.78931302454
Iceland,1991,67.8000030517578,2.18,30293.9915999203
India,1991,35,3.959,536.432062833752
Indonesia,1991,49.2999992370605,3.023,1769.51158168574
"Iran, Islamic Rep.",1991,9.89999961853027,4.478,4043.55002417325
Iraq,1991,11,5.794,1427.11037172382
Ireland,1991,36.2000007629395,2.08,23828.2696639475
Israel,1991,41.7999992370605,2.762,20757.9159733568
Italy,1991,35.5,1.3,31293.9167214025
Jamaica,1991,66.9000015258789,2.899,4507.03765716078
Japan,1991,50.7000007629395,1.53,39044.916148447
Jordan,1991,9.5,5.349,2499.67526429783
Kazakhstan,1991,62.4000015258789,2.61,5209.68159953278
Kenya,1991,69.5,5.847,911.057093817874
"Korea, Rep.",1991,47.0999984741211,1.71,9554.67839140983
Kuwait,1991,35.5,2.487,NA
Kyrgyz Republic,1991,58.2999992370605,3.58,993.509724982556
Lao PDR,1991,80.0999984741211,6.054,469.387964855108
Latvia,1991,60.7999992370605,1.86,NA
Lebanon,1991,16.8999996185303,2.919,5742.0879147618
Lesotho,1991,67.3000030517578,4.837,713.995660854796
Liberia,1991,56.2999992370605,6.414,356.605527652637
Libya,1991,18.6000003814697,4.667,NA
Lithuania,1991,58.7000007629395,2.01,NA
Luxembourg,1991,35.9000015258789,1.6,66947.899447268
"Macao SAR, China",1991,45,1.589,18522.7955541295
"Macedonia, FYR",1991,42.7999992370605,2.171,3630.23546038379
Madagascar,1991,83.6999969482422,6.225,449.713138271901
Malawi,1991,76,6.886,353.101697571806
Malaysia,1991,43,3.485,4789.36825679515
Maldives,1991,21.7000007629395,5.674,NA
Mali,1991,37,7.159,524.918955252626
Malta,1991,27.7000007629395,2.04,12651.7699385555
Mauritania,1991,18.7999992370605,5.932,1009.8848919504
Mauritius,1991,37.2000007629395,2.3,3830.74132327296
Mexico,1991,34.0999984741211,3.382,7392.10027828224
Moldova,1991,60.7000007629395,2.309,NA
Mongolia,1991,53.2000007629395,3.746,1583.61657312008
Montenegro,1991,44.7999992370605,2.063,NA
Morocco,1991,26.6000003814697,3.905,1806.26235902796
Mozambique,1991,85.4000015258789,6.19,175.140718096974
Myanmar,1991,72.4000015258789,3.337,186.901575480241
Namibia,1991,48.4000015258789,5.098,3662.68500886941
Nepal,1991,79.8000030517578,5.097,370.317107328865
Netherlands,1991,43.7999992370605,1.61,36065.6180356927
New Zealand,1991,53.5999984741211,2.16,23957.6862324896
Nicaragua,1991,34.5999984741211,4.433,1116.24347592494
Niger,1991,25.7000007629395,7.73,384.578227653248
Nigeria,1991,39.5,6.443,1326.73666565518
Norway,1991,55.0999984741211,1.92,61849.6867749276
Oman,1991,17.6000003814697,6.831,15138.533934721
Pakistan,1991,13.8000001907349,5.896,758.526627272851
Panama,1991,39.0999984741211,3,4311.60094807543
Papua New Guinea,1991,70.5,4.756,1124.60896211332
Paraguay,1991,54.2000007629395,4.457,2694.32568986463
Peru,1991,43.9000015258789,3.722,2682.62773216724
Philippines,1991,47.5999984741211,4.246,1479.66435462464
Poland,1991,54.4000015258789,2.07,5510.63122994354
Portugal,1991,50.5999984741211,1.56,17457.4260640151
Puerto Rico,1991,30.8999996185303,2.201,19420.8963928168
Qatar,1991,42.4000015258789,3.894,NA
Romania,1991,52.0999984741211,1.59,4695.88176407023
Russian Federation,1991,58.4000015258789,1.732,9033.07192326919
Rwanda,1991,88.5,7.015,354.626879986756
Samoa,1991,40.2000007629395,5.034,2311.68332313555
Sao Tome and Principe,1991,36.5999984741211,5.765,NA
Saudi Arabia,1991,14.3999996185303,5.76,15831.7118650038
Senegal,1991,62.2999992370605,6.519,844.493625552639
Serbia,1991,44.5,1.8,NA
Sierra Leone,1991,63.0999984741211,6.659,465.572610869745
Singapore,1991,49.7999992370605,1.77,22997.7845338278
Slovak Republic,1991,59.5999984741211,2.05,NA
Slovenia,1991,47.5999984741211,1.42,NA
Solomon Islands,1991,52.5999984741211,5.728,1318.52958687338
South Africa,1991,40.2999992370605,3.53,6143.9695200763
Spain,1991,34.2000007629395,1.33,22995.6522411211
Sri Lanka,1991,36.4000015258789,2.433,1245.80992758349
St. Lucia,1991,57.5999984741211,3.298,5333.79287762901
St. Vincent and the Grenadines,1991,44.5999984741211,2.907,3534.2562520615
Sudan,1991,26.7999992370605,6.092,802.233391703251
Suriname,1991,40.5,3.231,6202.20530686497
Swaziland,1991,42,5.571,2727.7594680556
Sweden,1991,61.9000015258789,2.11,36831.3973847606
Switzerland,1991,56.9000015258789,1.58,62510.4739228018
Tajikistan,1991,58.0999984741211,5.067,1157.55962537557
Tanzania,1991,86.9000015258789,6.148,488.216442109655
Thailand,1991,73.4000015258789,2.055,2686.39576729832
Timor-Leste,1991,41.2000007629395,5.469,NA
Togo,1991,67.6999969482422,6.202,527.472525764277
Tonga,1991,38.0999984741211,4.612,2703.07044052241
Trinidad and Tobago,1991,44,2.339,6672.42119969971
Tunisia,1991,21.2999992370605,3.31,2290.68075371136
Turkey,1991,34,2.986,6423.81068306477
Turkmenistan,1991,46.7000007629395,4.222,3459.35120216938
Uganda,1991,82.3000030517578,7.082,309.422390425746
Ukraine,1991,55.5999984741211,1.773,3624.29263348752
United Arab Emirates,1991,26.1000003814697,4.193,65422.6245153987
United Kingdom,1991,52.5,1.82,28220.0087901761
United States,1991,56.0999984741211,2.0625,35803.8684213439
Uruguay,1991,45.4000015258789,2.509,7070.54565959222
Uzbekistan,1991,46.4000015258789,4.199,971.640668629839
Vanuatu,1991,77.8000030517578,4.887,2572.44959123187
"Venezuela, RB",1991,38.9000015258789,3.37,12701.1676565446
Vietnam,1991,74.0999984741211,3.415,464.207938891304
West Bank and Gaza,1991,10,6.675,NA
"Yemen, Rep.",1991,16.2000007629395,8.459,991.507094118909
Zambia,1991,73.8000030517578,6.439,1002.85018436544
Zimbabwe,1991,67.1999969482422,5.001,1260.64372799855
Afghanistan,1992,15,7.502,NA
Albania,1992,54.2000007629395,2.829,1243.1349439421
Algeria,1992,10.5,4.223,3404.97546580988
Angola,1992,67,7.164,2485.57398500631
Argentina,1992,40.0999984741211,2.913,7304.92459295137
Armenia,1992,59.7999992370605,2.399,947.193479036872
